1578;15287245687;2550.50
4785;75586942524;5000.50
7896;47852369751;1200.00
5648;21456875254;6000.00
7856;17458568896;9000.00
7812;10155129686;8520.00
1111;17458568895;5000.50
1112;17458568896;5000.51
1113;17458568897;5000.52
1114;17458568898;5000.53
1115;17458568899;5000.54
1116;17458568900;5000.55
1117;17458568901;5000.56
1118;17458568902;5000.57
1119;17458568903;5000.58
1120;17458568904;5000.59
1121;17458568905;5000.60
1122;17458568906;5000.61
1123;17458568907;5000.62
1124;17458568908;5000.63
1125;17458568909;5000.64
1126;17458568910;5000.65
1127;17458568911;5000.66
1128;17458568912;5000.67
1129;17458568913;5000.68
1130;17458568914;5000.69
1131;17458568915;5000.70
1132;17458568916;5000.71
1133;17458568917;5000.72
1134;17458568918;5000.73
3412;10155129686;8750.00
2135;17458568919;5000.74
1136;17458568920;5000.75
1137;17458568921;5000.76
1138;17458568922;5000.77
1139;17458568923;5000.78
1140;17458568924;5000.79
1141;17458568925;5000.80
1142;17458568926;5000.81
1143;17458568927;5000.82
1144;17458568928;5000.83
1145;17458568929;5000.84
1146;17458568930;5000.85
1147;17458568931;5000.86
1148;17458568932;5000.87
1149;17458568933;5000.88
1150;17458568934;5000.89
1151;17458568935;5000.90
1152;17458568936;5000.91
1153;17458568937;5000.92
1154;17458568938;5000.93
1155;17458568939;5000.94
1156;17458568940;5000.95
1157;17458568941;5000.96
1158;17458568942;5000.97
1159;17458568943;5000.98
1160;17458568944;5001.00
4785;10155129686;8720.00
1161;17458568945;5001.01
1162;17458568946;5001.02
1163;17458568947;5001.03
1164;17458568948;5001.04
1165;17458568949;5001.05
1166;17458568950;5001.06
1167;17458568951;5001.07
1168;17458568952;5001.08
1169;17458568953;5001.09
1170;17458568954;5001.10
1171;17458568955;5001.11
1172;17458568956;5001.12
1173;17458568957;5001.13
1174;17458568958;5001.14
1175;17458568959;5001.15
1176;17458568960;5001.16
1177;17458568961;5001.17
1178;17458568962;5001.18
1179;17458568963;5001.19
1180;17458568964;5001.20
1181;17458568965;5001.21
1182;17458568966;5001.22
1183;17458568967;5001.23
1184;17458568968;5001.24
1185;17458568969;5001.25
1186;17458568970;5001.26
1187;17458568971;5001.27
1188;17458568972;5001.28
1189;17458568973;5001.29
1190;17458568974;5001.30
1191;17458568975;5001.31
1192;17458568976;5001.32
1193;17458568977;5001.33
1194;17458568978;5001.34
1195;17458568979;5001.35
1196;17458568980;5001.36
1197;17458568981;5001.37
1198;17458568982;5001.38
1199;17458568983;5001.39
1200;17458568984;5001.40
1201;17458568985;5001.41
1202;17458568986;5001.42
1203;17458568987;5001.43
1204;17458568988;5001.44
1205;17458568989;5001.45
9000;10155129686;5200.20
2548;10155129686;2550.0
